UF,Cidade,tempmax,tempmin,Mês DPP,Município
GO,Quirinópolis,"30,46","22,39",1,
GO,Quirinópolis,"32,31","22,07",2,
GO,Quirinópolis,"31,57","22,52",3,
GO,Quirinópolis,"30,85","21,61",4,
GO,Quirinópolis,"29,13","15,46",5,
GO,Quirinópolis,"27,43","13,63",6,
GO,Quirinópolis,"26,91","15,76",7,
GO,Quirinópolis,"29,76","15,3",8,
GO,Quirinópolis,"33,85","19,83",9,
GO,Quirinópolis,"33,09","21,59",10,
GO,Quirinópolis,"31,52","21,63",11,
GO,Quirinópolis,"31,5","21,8",12,
GO,Rialma,"29,96","20,8",1,
GO,Rialma,"32,26","20,46",2,
GO,Rialma,"32,09","21,17",3,
GO,Rialma,"31,28","20,56",4,
GO,Rialma,"32,24","18,76",5,
GO,Rialma,"31,06","14,52",6,
GO,Rialma,"31,31","12,83",7,
GO,Rialma,"32,98","14,94",8,
GO,Rialma,"34,81","19,69",9,
GO,Rialma,"30,33","20,37",10,
GO,Rialma,"29,61","20,61",11,
GO,Rialma,"30,67","20,89",12,
GO,Rianápolis,"29,96","20,85",1,
GO,Rianápolis,"32,26","20,46",2,
GO,Rianápolis,32,"21,11",3,
GO,Rianápolis,"31,13","20,63",4,
GO,Rianápolis,"32,2","19,17",5,
GO,Rianápolis,"31,04","14,96",6,
GO,Rianápolis,"31,28","12,94",7,
GO,Rianápolis,"32,91","15,19",8,
GO,Rianápolis,"34,7","20,22",9,
GO,Rianápolis,"30,07","20,69",10,
GO,Rianápolis,"29,3","20,59",11,
GO,Rianápolis,"30,63","20,94",12,
GO,Rio Quente,"29,65","21,28",1,
GO,Rio Quente,"31,96","20,65",2,
GO,Rio Quente,"31,89","21,15",3,
GO,Rio Quente,"31,31","20,09",4,
GO,Rio Quente,"30,76","15,72",5,
GO,Rio Quente,"29,5","12,87",6,
GO,Rio Quente,"30,63","13,33",7,
GO,Rio Quente,"32,94","16,83",8,
GO,Rio Quente,"33,54","19,07",9,
GO,Rio Quente,"29,89",21,10,
GO,Rio Quente,"27,89","21,13",11,
GO,Rio Quente,"29,96","20,63",12,
GO,Rio Verde,"29,13","20,43",1,
GO,Rio Verde,"31,63","20,07",2,
GO,Rio Verde,"31,93","20,35",3,
GO,Rio Verde,"30,24","20,43",4,
GO,Rio Verde,"29,31","15,59",5,
GO,Rio Verde,"28,93","13,93",6,
GO,Rio Verde,"29,43","16,02",7,
GO,Rio Verde,"32,35","17,43",8,
GO,Rio Verde,"34,15","19,69",9,
GO,Rio Verde,"31,94","20,61",10,
GO,Rio Verde,30,"20,59",11,
GO,Rio Verde,"30,26","20,43",12,
GO,Rubiataba,"28,59","20,48",1,
GO,Rubiataba,"30,91","20,54",2,
GO,Rubiataba,"31,7","21,52",3,
GO,Rubiataba,"31,35","20,3",4,
GO,Rubiataba,"32,3","18,09",5,
GO,Rubiataba,"31,17","13,76",6,
GO,Rubiataba,"31,46","12,26",7,
GO,Rubiataba,"33,13","14,39",8,
GO,Rubiataba,"34,96","18,35",9,
GO,Rubiataba,"30,8",20,10,
GO,Rubiataba,"30,26","20,63",11,
GO,Rubiataba,"31,26","20,76",12,
GO,Sanclerlândia,"29,3","21,24",1,
GO,Sanclerlândia,"31,7","21,91",2,
GO,Sanclerlândia,"32,37","22,28",3,
GO,Sanclerlândia,"31,72","21,69",4,
GO,Sanclerlândia,"33,33","20,26",5,
GO,Sanclerlândia,"33,46","16,96",6,
GO,Sanclerlândia,"33,46","17,63",7,
GO,Sanclerlândia,"35,3","19,93",8,
GO,Sanclerlândia,"36,3","23,39",9,
GO,Sanclerlândia,"32,59","22,22",10,
GO,Sanclerlândia,"30,96","20,96",11,
GO,Sanclerlândia,"31,43","21,3",12,
GO,Santa Bárbara de Goiás,"30,5","20,89",1,
GO,Santa Bárbara de Goiás,"31,76","20,54",2,
GO,Santa Bárbara de Goiás,"32,52","21,59",3,
GO,Santa Bárbara de Goiás,"32,26","20,87",4,
GO,Santa Bárbara de Goiás,"31,7","17,2",5,
GO,Santa Bárbara de Goiás,"30,59","13,83",6,
GO,Santa Bárbara de Goiás,"30,76","14,69",7,
GO,Santa Bárbara de Goiás,"33,17","17,15",8,
GO,Santa Bárbara de Goiás,"34,5","20,35",9,
GO,Santa Bárbara de Goiás,"29,7","21,67",10,
GO,Santa Bárbara de Goiás,"29,09","21,02",11,
GO,Santa Bárbara de Goiás,"30,04","20,93",12,
GO,Santa Cruz de Goiás,"29,04","20,02",1,
GO,Santa Cruz de Goiás,"31,83","20,28",2,
GO,Santa Cruz de Goiás,"31,59","20,54",3,
GO,Santa Cruz de Goiás,"30,85","19,31",4,
GO,Santa Cruz de Goiás,"30,96","15,5",5,
GO,Santa Cruz de Goiás,"29,35","13,06",6,
GO,Santa Cruz de Goiás,"30,19","13,44",7,
GO,Santa Cruz de Goiás,"31,65","17,52",8,
GO,Santa Cruz de Goiás,"32,2","19,04",9,
GO,Santa Cruz de Goiás,"29,02","20,3",10,
GO,Santa Cruz de Goiás,"28,02","21,13",11,
GO,Santa Cruz de Goiás,"29,93","20,46",12,
GO,Santa fé de Goiás,"30,91","23,15",1,
GO,Santa fé de Goiás,"33,24","23,43",2,
GO,Santa fé de Goiás,"33,35","23,63",3,
GO,Santa fé de Goiás,"33,06","23,43",4,
GO,Santa fé de Goiás,"33,81","21,35",5,
GO,Santa fé de Goiás,"33,26","17,81",6,
GO,Santa fé de Goiás,"33,56","17,76",7,
GO,Santa fé de Goiás,"35,39","20,35",8,
GO,Santa fé de Goiás,"36,78","23,78",9,
GO,Santa fé de Goiás,"33,63","24,44",10,
GO,Santa fé de Goiás,"30,2",23,11,
GO,Santa fé de Goiás,"31,44","22,87",12,
GO,Santa Helena de Goiás,"29,13","20,43",1,
GO,Santa Helena de Goiás,"31,63","20,65",2,
GO,Santa Helena de Goiás,"32,22","21,28",3,
GO,Santa Helena de Goiás,"30,61","21,11",4,
GO,Santa Helena de Goiás,"29,39","15,81",5,
GO,Santa Helena de Goiás,"29,54","14,09",6,
GO,Santa Helena de Goiás,"30,91","16,8",7,
GO,Santa Helena de Goiás,"33,74","18,02",8,
GO,Santa Helena de Goiás,"35,83","20,35",9,
GO,Santa Helena de Goiás,"32,81","21,69",10,
GO,Santa Helena de Goiás,"30,3","20,93",11,
GO,Santa Helena de Goiás,"30,33","20,43",12,
GO,Santa Rita do Araguaia,"27,28","20,41",1,
GO,Santa Rita do Araguaia,"29,72","19,8",2,
GO,Santa Rita do Araguaia,"31,41","20,07",3,
GO,Santa Rita do Araguaia,"30,15","20,54",4,
GO,Santa Rita do Araguaia,"29,28","16,69",5,
GO,Santa Rita do Araguaia,"28,63","15,02",6,
GO,Santa Rita do Araguaia,"29,02","14,13",7,
GO,Santa Rita do Araguaia,"32,69","15,74",8,
GO,Santa Rita do Araguaia,"34,37","19,63",9,
GO,Santa Rita do Araguaia,"31,17","20,09",10,
GO,Santa Rita do Araguaia,"29,72","19,63",11,
GO,Santa Rita do Araguaia,"28,56","19,52",12,
GO,Santa Rita do Novo Destino,"29,96","20,96",1,
GO,Santa Rita do Novo Destino,"32,26","20,46",2,
GO,Santa Rita do Novo Destino,"31,96","21,09",3,
GO,Santa Rita do Novo Destino,"30,94","20,87",4,
GO,Santa Rita do Novo Destino,"32,11","20,06",5,
GO,Santa Rita do Novo Destino,"31,07","16,17",6,
GO,Santa Rita do Novo Destino,"31,24","13,33",7,
GO,Santa Rita do Novo Destino,"32,67","15,91",8,
GO,Santa Rita do Novo Destino,"34,46","21,44",9,
GO,Santa Rita do Novo Destino,"29,43","21,22",10,
GO,Santa Rita do Novo Destino,"28,52","20,57",11,
GO,Santa Rita do Novo Destino,"30,76","21,04",12,
GO,Santa Rosa de Goiás,"28,72","19,69",1,
GO,Santa Rosa de Goiás,"30,19","19,48",2,
GO,Santa Rosa de Goiás,"30,17","20,59",3,
GO,Santa Rosa de Goiás,"29,91","20,2",4,
GO,Santa Rosa de Goiás,30,"17,33",5,
GO,Santa Rosa de Goiás,"28,81","14,15",6,
GO,Santa Rosa de Goiás,"29,13","14,65",7,
GO,Santa Rosa de Goiás,"30,74","17,37",8,
GO,Santa Rosa de Goiás,32,"19,57",9,
GO,Santa Rosa de Goiás,"27,98","20,43",10,
GO,Santa Rosa de Goiás,"27,59","19,8",11,
GO,Santa Rosa de Goiás,"28,8","19,76",12,
GO,Santa Tereza de Goiás,"30,17","21,89",1,
GO,Santa Tereza de Goiás,"32,13","21,65",2,
GO,Santa Tereza de Goiás,"32,17","22,19",3,
GO,Santa Tereza de Goiás,"31,91","22,11",4,
GO,Santa Tereza de Goiás,"33,2","20,87",5,
GO,Santa Tereza de Goiás,"32,15","17,28",6,
GO,Santa Tereza de Goiás,"32,56","16,61",7,
GO,Santa Tereza de Goiás,"33,74","19,19",8,
GO,Santa Tereza de Goiás,"35,43","20,89",9,
GO,Santa Tereza de Goiás,"31,56","23,8",10,
GO,Santa Tereza de Goiás,"28,81","22,67",11,
GO,Santa Tereza de Goiás,"28,7","22,44",12,
GO,Santa Terezinha de Goiás,"30,09","22,65",1,
GO,Santa Terezinha de Goiás,"32,81","21,98",2,
GO,Santa Terezinha de Goiás,"32,78","22,35",3,
GO,Santa Terezinha de Goiás,"31,85","20,76",4,
GO,Santa Terezinha de Goiás,"32,3","18,09",5,
GO,Santa Terezinha de Goiás,"31,17","13,76",6,
GO,Santa Terezinha de Goiás,"31,46","12,26",7,
GO,Santa Terezinha de Goiás,"33,13","14,39",8,
GO,Santa Terezinha de Goiás,"34,96","18,85",9,
GO,Santa Terezinha de Goiás,"31,13",20,10,
GO,Santa Terezinha de Goiás,"30,26","20,63",11,
GO,Santa Terezinha de Goiás,"31,26","20,76",12,
GO,Santo Antônio da Barra,"29,26","20,94",1,
GO,Santo Antônio da Barra,"31,72","21,37",2,
GO,Santo Antônio da Barra,"32,09","21,7",3,
GO,Santo Antônio da Barra,"30,56","21,31",4,
GO,Santo Antônio da Barra,"29,44","16,54",5,
GO,Santo Antônio da Barra,"29,63","14,85",6,
GO,Santo Antônio da Barra,"31,3","17,8",7,
GO,Santo Antônio da Barra,"33,63","19,09",8,
GO,Santo Antônio da Barra,"34,93","20,56",9,
GO,Santo Antônio da Barra,"32,76","20,85",10,
GO,Santo Antônio da Barra,"30,07","20,89",11,
GO,Santo Antônio da Barra,30,"20,81",12,
GO,Santo Antônio de Goiás,"30,15","20,67",1,
GO,Santo Antônio de Goiás,"31,41","20,33",2,
GO,Santo Antônio de Goiás,"31,78","21,37",3,
GO,Santo Antônio de Goiás,"31,5","20,7",4,
GO,Santo Antônio de Goiás,"31,33","17,22",5,
GO,Santo Antônio de Goiás,"30,22","13,96",6,
GO,Santo Antônio de Goiás,"30,39","14,7",7,
GO,Santo Antônio de Goiás,"32,63","17,3",8,
GO,Santo Antônio de Goiás,34,"20,28",9,
GO,Santo Antônio de Goiás,"29,24","21,44",10,
GO,Santo Antônio de Goiás,"28,7","20,76",11,
GO,Santo Antônio de Goiás,"29,67","20,69",12,
GO,Santo Antônio do Descoberto,"27,7","19,98",1,
GO,Santo Antônio do Descoberto,"29,94","18,91",2,
GO,Santo Antônio do Descoberto,"30,72","19,7",3,
GO,Santo Antônio do Descoberto,"28,81","19,22",4,
GO,Santo Antônio do Descoberto,"28,2","16,74",5,
GO,Santo Antônio do Descoberto,"26,67","13,98",6,
GO,Santo Antônio do Descoberto,"27,07","13,96",7,
GO,Santo Antônio do Descoberto,"28,67","16,69",8,
GO,Santo Antônio do Descoberto,"30,26","17,7",9,
GO,Santo Antônio do Descoberto,"25,85","19,72",10,
GO,Santo Antônio do Descoberto,"25,04","19,61",11,
GO,Santo Antônio do Descoberto,"27,35","19,85",12,
GO,São Francisco de Goiás,"28,09","19,19",1,
GO,São Francisco de Goiás,"29,63","19,06",2,
GO,São Francisco de Goiás,"29,61","20,24",3,
GO,São Francisco de Goiás,"29,28","19,94",4,
GO,São Francisco de Goiás,"29,35","17,28",5,
GO,São Francisco de Goiás,"28,17","14,19",6,
GO,São Francisco de Goiás,"28,59","14,52",7,
GO,São Francisco de Goiás,"30,09","17,24",8,
GO,São Francisco de Goiás,"31,35","19,15",9,
GO,São Francisco de Goiás,"27,41","19,8",10,
GO,São Francisco de Goiás,"26,93","19,22",11,
GO,São Francisco de Goiás,"28,19","19,19",12,
GO,São João D´aliança,"26,09",18,1,
GO,São João D´aliança,"27,8","17,63",2,
GO,São João D´aliança,"29,09","19,28",3,
GO,São João D´aliança,"28,02","19,78",4,
GO,São João D´aliança,"27,65","16,39",5,
GO,São João D´aliança,"25,89","13,59",6,
GO,São João D´aliança,"25,5",13,7,
GO,São João D´aliança,"27,48","15,8",8,
GO,São João D´aliança,"27,93","17,13",9,
GO,São João D´aliança,"26,59","18,63",10,
GO,São João D´aliança,"25,43","18,13",11,
GO,São João D´aliança,"25,56","17,33",12,
GO,São João da Paraúna,"29,67","21,46",1,
GO,São João da Paraúna,"32,89","21,67",2,
GO,São João da Paraúna,"32,56","22,22",3,
GO,São João da Paraúna,"31,56","21,56",4,
GO,São João da Paraúna,"30,43","17,63",5,
GO,São João da Paraúna,"30,17","15,83",6,
GO,São João da Paraúna,"31,3","17,63",7,
GO,São João da Paraúna,"33,63","18,93",8,
GO,São João da Paraúna,"34,93","21,26",9,
GO,São João da Paraúna,"32,83","21,59",10,
GO,São João da Paraúna,"29,19","21,17",11,
GO,São João da Paraúna,"30,59","21,26",12,
GO,São Luís de Montes Belos,"29,67","21,46",1,
GO,São Luís de Montes Belos,"32,93","21,67",2,
GO,São Luís de Montes Belos,"32,54",22,3,
GO,São Luís de Montes Belos,"31,52","21,57",4,
GO,São Luís de Montes Belos,"31,19","18,48",5,
GO,São Luís de Montes Belos,"31,17","16,28",6,
GO,São Luís de Montes Belos,"31,96","17,56",7,
GO,São Luís de Montes Belos,"34,04","19,3",8,
GO,São Luís de Montes Belos,"35,19","22,78",9,
GO,São Luís de Montes Belos,"32,74","22,26",10,
GO,São Luís de Montes Belos,"30,24","21,22",11,
GO,São Luís de Montes Belos,"30,74","21,41",12,
GO,São Luíz do Norte,"29,96","20,96",1,
GO,São Luíz do Norte,"32,26","20,46",2,
GO,São Luíz do Norte,"32,48","21,28",3,
GO,São Luíz do Norte,"31,67","20,61",4,
GO,São Luíz do Norte,"32,26","18,57",5,
GO,São Luíz do Norte,"31,07","14,31",6,
GO,São Luíz do Norte,"31,35","12,78",7,
GO,São Luíz do Norte,"33,02","14,83",8,
GO,São Luíz do Norte,"34,85","19,43",9,
GO,São Luíz do Norte,"30,44","20,2",10,
GO,São Luíz do Norte,"29,78","20,59",11,
GO,São Luíz do Norte,"30,74","20,85",12,
GO,São Miguel do Araguaia,"30,78","23,24",1,
GO,São Miguel do Araguaia,"33,48","22,78",2,
GO,São Miguel do Araguaia,"32,41","23,39",3,
GO,São Miguel do Araguaia,"32,2","23,46",4,
GO,São Miguel do Araguaia,"34,37","22,28",5,
GO,São Miguel do Araguaia,"33,81","18,35",6,
GO,São Miguel do Araguaia,"34,04","16,69",7,
GO,São Miguel do Araguaia,"35,24","20,15",8,
GO,São Miguel do Araguaia,"37,24","23,15",9,
GO,São Miguel do Araguaia,"32,78","24,91",10,
GO,São Miguel do Araguaia,"29,78","23,41",11,
GO,São Miguel do Araguaia,"30,48","23,33",12,
GO,São Miguel do Passa Quatro,"29,69","20,37",1,
GO,São Miguel do Passa Quatro,"31,48","20,41",2,
GO,São Miguel do Passa Quatro,"32,17","21,37",3,
GO,São Miguel do Passa Quatro,"31,78","20,04",4,
GO,São Miguel do Passa Quatro,31,"16,46",5,
GO,São Miguel do Passa Quatro,"29,41","13,54",6,
GO,São Miguel do Passa Quatro,"30,11","14,28",7,
GO,São Miguel do Passa Quatro,"31,74","17,39",8,
GO,São Miguel do Passa Quatro,"32,5","19,33",9,
GO,São Miguel do Passa Quatro,"28,78","20,94",10,
GO,São Miguel do Passa Quatro,"28,2","21,07",11,
GO,São Miguel do Passa Quatro,"28,89","20,5",12,
GO,São Patrício,"28,59","20,48",1,
GO,São Patrício,"30,91","20,54",2,
GO,São Patrício,"31,61","21,52",3,
GO,São Patrício,"31,35","20,85",4,
GO,São Patrício,"32,59","18,89",5,
GO,São Patrício,"31,87","14,78",6,
GO,São Patrício,32,"14,17",7,
GO,São Patrício,"33,56","16,46",8,
GO,São Patrício,"35,19","21,09",9,
GO,São Patrício,"31,02","21,19",10,
GO,São Patrício,"30,2","20,87",11,
GO,São Patrício,"31,13","21,13",12,
GO,Senador Canedo,"30,46","20,78",1,
GO,Senador Canedo,"31,67","20,44",2,
GO,Senador Canedo,"32,22","21,5",3,
GO,Senador Canedo,"31,93","20,78",4,
GO,Senador Canedo,"31,54","17,17",5,
GO,Senador Canedo,"30,48","13,83",6,
GO,Senador Canedo,"30,65","14,7",7,
GO,Senador Canedo,"32,98","17,13",8,
GO,Senador Canedo,"34,31","20,31",9,
GO,Senador Canedo,"29,57","21,61",10,
GO,Senador Canedo,29,"20,96",11,
GO,Senador Canedo,"29,98","20,85",12,
GO,Serranópolis,"29,3","21,13",1,
GO,Serranópolis,"31,3","20,17",2,
GO,Serranópolis,"31,85","19,93",3,
GO,Serranópolis,"30,85","20,13",4,
GO,Serranópolis,"29,63","15,33",5,
GO,Serranópolis,"29,2","11,96",6,
GO,Serranópolis,"29,87","13,8",7,
GO,Serranópolis,"33,26","13,3",8,
GO,Serranópolis,"35,26","18,98",9,
GO,Serranópolis,"32,83","20,56",10,
GO,Serranópolis,"30,33",20,11,
GO,Serranópolis,"30,09",20,12,
GO,Silvânia,"28,91","19,59",1,
GO,Silvânia,"30,33","19,59",2,
GO,Silvânia,"30,56","20,54",3,
GO,Silvânia,"29,93","19,04",4,
GO,Silvânia,"30,02","16,54",5,
GO,Silvânia,"28,24","14,11",6,
GO,Silvânia,"28,7","14,56",7,
GO,Silvânia,"30,31","16,72",8,
GO,Silvânia,31,"17,83",9,
GO,Silvânia,"27,63","19,85",10,
GO,Silvânia,"27,7","20,07",11,
GO,Silvânia,"27,83","19,56",12,
GO,Simolândia,"29,22","21,35",1,
GO,Simolândia,"30,26","22,5",2,
GO,Simolândia,"31,57","21,76",3,
GO,Simolândia,"30,89","20,81",4,
GO,Simolândia,"31,43","21,33",5,
GO,Simolândia,"29,81","19,63",6,
GO,Simolândia,"29,72","18,06",7,
GO,Simolândia,"30,98","18,22",8,
GO,Simolândia,"32,5","20,06",9,
GO,Simolândia,"30,76","20,57",10,
GO,Simolândia,"27,24","19,8",11,
GO,Simolândia,"28,33",20,12,
GO,Sítio D´abadia,"28,7","20,28",1,
GO,Sítio D´abadia,"30,37","18,69",2,
GO,Sítio D´abadia,"31,74","18,91",3,
GO,Sítio D´abadia,"30,44","18,81",4,
GO,Sítio D´abadia,"31,48","17,31",5,
GO,Sítio D´abadia,"30,11","14,19",6,
GO,Sítio D´abadia,30,"13,15",7,
GO,Sítio D´abadia,"30,94","15,48",8,
GO,Sítio D´abadia,"32,17","16,54",9,
GO,Sítio D´abadia,"29,41","20,11",10,
GO,Sítio D´abadia,"26,69","19,7",11,
GO,Sítio D´abadia,"27,46","19,89",12,
GO,Taquaral de Goiás,"28,39","19,57",1,
GO,Taquaral de Goiás,"29,91","19,43",2,
GO,Taquaral de Goiás,"30,41","20,61",3,
GO,Taquaral de Goiás,"30,17","20,54",4,
GO,Taquaral de Goiás,"30,63","18,15",5,
GO,Taquaral de Goiás,"29,87","14,98",6,
GO,Taquaral de Goiás,30,"15,39",7,
GO,Taquaral de Goiás,"31,44","18,3",8,
GO,Taquaral de Goiás,33,"20,96",9,
GO,Taquaral de Goiás,"29,15","20,5",10,
GO,Taquaral de Goiás,"28,04","20,09",11,
GO,Taquaral de Goiás,"29,17","20,15",12,
GO,Teresina de Goiás,"26,09",18,1,
GO,Teresina de Goiás,"27,81","17,63",2,
GO,Teresina de Goiás,"28,96","18,85",3,
GO,Teresina de Goiás,"27,89","19,35",4,
GO,Teresina de Goiás,"27,85","16,39",5,
GO,Teresina de Goiás,"26,09","13,59",6,
GO,Teresina de Goiás,"25,5",13,7,
GO,Teresina de Goiás,"27,72","15,8",8,
GO,Teresina de Goiás,"27,93","17,13",9,
GO,Teresina de Goiás,"26,59","18,63",10,
GO,Teresina de Goiás,"25,3","18,13",11,
GO,Teresina de Goiás,"25,76","17,33",12,
GO,Terezópolis de Goiás,"29,65","20,31",1,
GO,Terezópolis de Goiás,"30,85","20,02",2,
GO,Terezópolis de Goiás,31,"21,07",3,
GO,Terezópolis de Goiás,"30,72","20,44",4,
GO,Terezópolis de Goiás,"30,67","17,22",5,
GO,Terezópolis de Goiás,"29,56","14,04",6,
GO,Terezópolis de Goiás,"29,8","14,72",7,
GO,Terezópolis de Goiás,"31,67","17,35",8,
GO,Terezópolis de Goiás,33,"19,96",9,
GO,Terezópolis de Goiás,"28,65","21,07",10,
GO,Terezópolis de Goiás,"28,11","20,39",11,
GO,Terezópolis de Goiás,"29,15","20,3",12,
GO,Três Ranchos,"29,13","20,74",1,
GO,Três Ranchos,"30,56","21,52",2,
GO,Três Ranchos,"29,76","21,46",3,
GO,Três Ranchos,"28,41","20,76",4,
GO,Três Ranchos,"29,52","17,93",5,
GO,Três Ranchos,"28,22","16,74",6,
GO,Três Ranchos,"28,8","16,65",7,
GO,Três Ranchos,"30,56","17,39",8,
GO,Três Ranchos,"32,15",20,9,
GO,Três Ranchos,"28,89","20,15",10,
GO,Três Ranchos,"27,39","20,11",11,
GO,Três Ranchos,"28,22","19,78",12,
GO,Trombas,"29,87","21,54",1,
GO,Trombas,"31,78","21,28",2,
GO,Trombas,"32,09","21,69",3,
GO,Trombas,"31,85","21,67",4,
GO,Trombas,"33,09","20,07",5,
GO,Trombas,"32,09","16,61",6,
GO,Trombas,"32,69","15,74",7,
GO,Trombas,"33,81","19,06",8,
GO,Trombas,"35,28","20,22",9,
GO,Trombas,"31,69","23,67",10,
GO,Trombas,"28,87","22,56",11,
GO,Trombas,"28,63","22,35",12,
GO,Turvânia,"29,67","21,46",1,
GO,Turvânia,"32,93","21,67",2,
GO,Turvânia,"32,52",22,3,
GO,Turvânia,"31,52","21,57",4,
GO,Turvânia,"31,11","18,44",5,
GO,Turvânia,"31,09","16,24",6,
GO,Turvânia,"31,91","17,52",7,
GO,Turvânia,"33,98","19,24",8,
GO,Turvânia,"35,17","22,69",9,
GO,Turvânia,"32,76","22,22",10,
GO,Turvânia,"30,22","21,19",11,
GO,Turvânia,"30,74","21,37",12,
GO,Turvelândia,"29,13","20,43",1,
GO,Turvelândia,"31,63","20,93",2,
GO,Turvelândia,"32,39","21,78",3,
GO,Turvelândia,"30,78","21,48",4,
GO,Turvelândia,"29,39","15,96",5,
GO,Turvelândia,"29,74","13,8",6,
GO,Turvelândia,"31,52","16,8",7,
GO,Turvelândia,"34,26","18,69",8,
GO,Turvelândia,"36,41","21,06",9,
GO,Turvelândia,"33,11","22,39",10,
GO,Turvelândia,"30,43",21,11,
GO,Turvelândia,"30,33","20,43",12,
GO,Uirapuru,"30,24","22,76",1,
GO,Uirapuru,"33,3","22,43",2,
GO,Uirapuru,"32,69","23,24",3,
GO,Uirapuru,"32,54","23,02",4,
GO,Uirapuru,"34,13","22,24",5,
GO,Uirapuru,"33,39","18,31",6,
GO,Uirapuru,"33,44","17,28",7,
GO,Uirapuru,"34,74","20,09",8,
GO,Uirapuru,"36,57","23,19",9,
GO,Uirapuru,"33,02","24,52",10,
GO,Uirapuru,"30,02","23,35",11,
GO,Uirapuru,"31,24","23,06",12,
GO,Uruaçu,"29,96","20,96",1,
GO,Uruaçu,"32,31","20,46",2,
GO,Uruaçu,"32,33","21,24",3,
GO,Uruaçu,"31,46","20,76",4,
GO,Uruaçu,"32,2","19,17",5,
GO,Uruaçu,"31,04","14,94",6,
GO,Uruaçu,"31,28","12,94",7,
GO,Uruaçu,"32,91","15,17",8,
GO,Uruaçu,"34,7","20,2",9,
GO,Uruaçu,"30,07","20,69",10,
GO,Uruaçu,"29,3","20,59",11,
GO,Uruaçu,"30,63","20,94",12,
GO,Uruana,"28,7","20,52",1,
GO,Uruana,"30,87","20,59",2,
GO,Uruana,"31,61","21,56",3,
GO,Uruana,"31,39","21,07",4,
GO,Uruana,"32,72","19,17",5,
GO,Uruana,"32,13","15,13",6,
GO,Uruana,"32,22","14,8",7,
GO,Uruana,"33,74","17,15",8,
GO,Uruana,"35,28","21,67",9,
GO,Uruana,"31,11","21,56",10,
GO,Uruana,"30,2","20,94",11,
GO,Uruana,"31,09","21,19",12,
GO,Urutaí,29,"19,93",1,
GO,Urutaí,"31,83","20,22",2,
GO,Urutaí,"31,67","20,69",3,
GO,Urutaí,"30,83","19,56",4,
GO,Urutaí,31,"15,46",5,
GO,Urutaí,"29,43","13,06",6,
GO,Urutaí,"30,22","13,46",7,
GO,Urutaí,"31,63","17,67",8,
GO,Urutaí,"32,65","19,59",9,
GO,Urutaí,"29,52","20,72",10,
GO,Urutaí,"28,13","21,13",11,
GO,Urutaí,"30,33","20,46",12,
GO,Valparaíso de Goiás,"27,78","20,13",1,
GO,Valparaíso de Goiás,"30,15","19,35",2,
GO,Valparaíso de Goiás,"30,94","19,89",3,
GO,Valparaíso de Goiás,"28,98","19,31",4,
GO,Valparaíso de Goiás,"28,35","16,87",5,
GO,Valparaíso de Goiás,"26,89","14,37",6,
GO,Valparaíso de Goiás,"27,2","14,41",7,
GO,Valparaíso de Goiás,"28,78","16,7",8,
GO,Valparaíso de Goiás,"30,39","17,83",9,
GO,Valparaíso de Goiás,"26,13","19,81",10,
GO,Valparaíso de Goiás,"25,37","19,7",11,
GO,Valparaíso de Goiás,"27,33","19,94",12,
GO,Varjão,"30,5","20,89",1,
GO,Varjão,"31,76","20,54",2,
GO,Varjão,"32,52","21,57",3,
GO,Varjão,"32,26","20,87",4,
GO,Varjão,"31,7","17,2",5,
GO,Varjão,"30,59","13,83",6,
GO,Varjão,"30,76","14,69",7,
GO,Varjão,"33,17","17,15",8,
GO,Varjão,"34,5","20,35",9,
GO,Varjão,"29,7","21,67",10,
GO,Varjão,"29,09","21,02",11,
GO,Varjão,"30,04","20,93",12,
GO,Vianópolis,"28,46","19,65",1,
GO,Vianópolis,"30,31","19,67",2,
GO,Vianópolis,"30,57","20,61",3,
GO,Vianópolis,"29,94","19,19",4,
GO,Vianópolis,"29,96","16,5",5,
GO,Vianópolis,"28,13","13,94",6,
GO,Vianópolis,"28,72","14,41",7,
GO,Vianópolis,"30,35","16,78",8,
GO,Vianópolis,"31,07","18,04",9,
GO,Vianópolis,"27,5","19,91",10,
GO,Vianópolis,"27,44","20,19",11,
GO,Vianópolis,"27,87","19,67",12,
GO,Vicentinópolis,"29,76","21,3",1,
GO,Vicentinópolis,"32,2","20,67",2,
GO,Vicentinópolis,33,"21,22",3,
GO,Vicentinópolis,"32,04","20,89",4,
GO,Vicentinópolis,"30,91","15,8",5,
GO,Vicentinópolis,"29,63","13,33",6,
GO,Vicentinópolis,"30,8","15,22",7,
GO,Vicentinópolis,"33,52","17,89",8,
GO,Vicentinópolis,"35,24","20,09",9,
GO,Vicentinópolis,"31,31","21,74",10,
GO,Vicentinópolis,"28,98","20,98",11,
GO,Vicentinópolis,"30,46","20,93",12,
GO,Vila Boa,"29,46","21,28",1,
GO,Vila Boa,"30,72","20,57",2,
GO,Vila Boa,"32,22","21,07",3,
GO,Vila Boa,"31,15","20,57",4,
GO,Vila Boa,"31,69","18,91",5,
GO,Vila Boa,"30,35","15,74",6,
GO,Vila Boa,"30,31","15,02",7,
GO,Vila Boa,"31,59","16,98",8,
GO,Vila Boa,"33,04","18,24",9,
GO,Vila Boa,"29,37","21,65",10,
GO,Vila Boa,"27,48","21,57",11,
GO,Vila Boa,"29,04","21,76",12,
